Popularity in 2005,,,,
Rank,Male name,Number of,Female name,Number of
,,males,,females
1,Jacob,"25,838",Emily,"23,948"
2,Michael,"23,822",Emma,"20,349"
3,Joshua,"23,258",Madison,"19,572"
4,Matthew,"21,473",Abigail,"15,753"
5,Ethan,"21,315",Olivia,"15,698"
6,Andrew,"20,736",Isabella,"15,192"
7,Daniel,"20,221",Hannah,"14,851"
8,Anthony,"19,382",Samantha,"13,639"
9,Joseph,"19,227",Ava,"13,606"
10,Christopher,"19,171",Ashley,"13,274"
11,William,"19,054",Elizabeth,"12,735"
12,David,"18,128",Sophia,"12,674"
13,Alexander,"18,127",Alexis,"11,973"
14,Ryan,"17,985",Grace,"11,865"
15,Nicholas,"17,075",Sarah,"11,540"
16,Tyler,"16,987",Alyssa,"10,891"
17,James,"16,138",Mia,"10,844"
18,John,"15,779",Natalie,"10,741"
19,Jonathan,"14,441",Chloe,"9,596"
20,Nathan,"14,360",Brianna,"9,370"
21,Samuel,"14,258",Lauren,"9,247"
22,Christian,"14,207",Anna,"9,105"
23,Noah,"13,897",Ella,"9,070"
24,Dylan,"13,781",Taylor,"8,672"
25,Benjamin,"13,579",Kayla,"8,619"
26,Logan,"13,473",Hailey,"8,591"
27,Brandon,"12,946",Jessica,"8,115"
28,Gabriel,"12,758",Victoria,"7,958"
29,Zachary,"12,288",Jasmine,"7,872"
30,Jose,"12,064",Sydney,"7,376"
31,Elijah,"11,610",Julia,"7,087"
32,Angel,"10,989",Destiny,"6,892"
33,Kevin,"10,914",Morgan,"6,749"
34,Jack,"10,904",Kaitlyn,"6,521"
35,Caleb,"10,894",Savannah,"6,483"
36,Justin,"10,516",Katherine,"6,391"
37,Robert,"10,166",Alexandra,"6,317"
38,Austin,"10,111",Rachel,"6,216"
39,Evan,"10,108",Lily,"6,089"
40,Thomas,"10,038",Kaylee,"5,870"
41,Luke,"10,011",Megan,"5,856"
42,Mason,"9,769",Jennifer,"5,835"
43,Aidan,"9,759",Angelina,"5,812"
44,Jackson,"9,579",Makayla,"5,727"
45,Isaiah,"9,523",Allison,"5,634"
46,Jordan,"9,398",Maria,"5,597"
47,Gavin,"9,339",Brooke,"5,570"
48,Connor,"9,320",Trinity,"5,454"
49,Isaac,"9,125",Faith,"5,255"
50,Aiden,"9,083",Lillian,"5,213"
51,Jason,"8,612",Mackenzie,"5,197"
52,Cameron,"8,574",Sofia,"5,162"
53,Hunter,"8,511",Haley,"5,127"
54,Jayden,"8,260",Riley,"5,126"
55,Juan,"8,230",Gabrielle,"5,017"
56,Charles,"7,930",Nicole,"4,989"
57,Aaron,"7,806",Kylie,"4,969"
58,Lucas,"7,576",Zoe,"4,963"
59,Luis,"7,465",Katelyn,"4,928"
60,Owen,"7,168",Paige,"4,906"
61,Landon,"7,110",Gabriella,"4,822"
62,Diego,"6,941",Jenna,"4,794"
63,Brian,"6,919",Kimberly,"4,751"
64,Adam,"6,843",Stephanie,"4,700"
65,Adrian,"6,726",Andrea,"4,671"
66,Eric,"6,696",Alexa,"4,664"
67,Nathaniel,"6,687",Avery,"4,654"
68,Ian,"6,686",Leah,"4,598"
69,Kyle,"6,686",Nevaeh,"4,558"
70,Carlos,"6,562",Madeline,"4,528"
71,Alex,"6,486",Evelyn,"4,488"
72,Bryan,"6,454",Mary,"4,467"
73,Jesus,"6,376",Maya,"4,430"
74,Julian,"6,115",Michelle,"4,312"
75,Sean,"5,997",Sara,"4,280"
76,Hayden,"5,916",Jada,"4,265"
77,Carter,"5,899",Audrey,"4,136"
78,Jeremiah,"5,843",Brooklyn,"4,132"
79,Cole,"5,586",Amanda,"4,095"
80,Brayden,"5,512",Vanessa,"4,093"
81,Wyatt,"5,356",Rebecca,"4,013"
82,Chase,"5,199",Ariana,"3,980"
83,Steven,"5,077",Caroline,"3,973"
84,Timothy,"5,031",Amelia,"3,908"
85,Dominic,"4,992",Mariah,"3,841"
86,Sebastian,"4,955",Jordan,"3,695"
87,Xavier,"4,875",Jocelyn,"3,681"
88,Jaden,"4,849",Arianna,"3,672"
89,Jesse,"4,745",Isabel,"3,611"
90,Devin,"4,715",Autumn,"3,601"
91,Seth,"4,712",Marissa,"3,592"
92,Antonio,"4,692",Melanie,"3,495"
93,Miguel,"4,675",Aaliyah,"3,458"
94,Richard,"4,667",Gracie,"3,371"
95,Colin,"4,532",Claire,"3,293"
96,Cody,"4,529",Isabelle,"3,283"
97,Alejandro,"4,479",Molly,"3,214"
98,Caden,"4,438",Mya,"3,207"
99,Blake,"4,417",Katie,"3,167"
100,Kaden,"4,364",Diana,"3,156"
101,Carson,"4,354",Amber,"3,146"
102,Henry,"4,179",Danielle,"3,133"
103,Jake,"4,153",Leslie,"3,122"
104,Liam,"4,152",Melissa,"3,084"
105,Victor,"4,139",Sierra,"3,048"
106,Riley,"4,110",Addison,"3,023"
107,Ashton,"4,067",Madelyn,"3,021"
108,Patrick,"4,044",Bailey,"2,991"
109,Bryce,"3,903",Catherine,"2,984"
110,Brady,"3,781",Gianna,"2,962"
111,Vincent,"3,745",Amy,"2,956"
112,Trevor,"3,682",Erin,"2,907"
113,Tristan,"3,591",Jade,"2,897"
114,Mark,"3,528",Angela,"2,895"
115,Jeremy,"3,486",Gabriela,"2,866"
116,Marcus,"3,473",Jacqueline,"2,849"
117,Oscar,"3,460",Shelby,"2,839"
118,Jorge,"3,440",Kennedy,"2,826"
119,Parker,"3,404",Lydia,"2,777"
120,Cooper,"3,393",Alondra,"2,721"
121,Kaleb,"3,393",Adriana,"2,706"
122,Kenneth,"3,368",Daniela,"2,652"
123,Joel,"3,272",Natalia,"2,652"
124,Garrett,"3,262",Breanna,"2,640"
125,Josiah,"3,258",Kathryn,"2,576"
126,Ivan,"3,238",Briana,"2,542"
127,Conner,"3,206",Ashlyn,"2,539"
128,Alan,"3,205",Rylee,"2,521"
129,Eduardo,"3,180",Eva,"2,475"
130,Paul,"3,140",Ruby,"2,471"
131,Tanner,"3,075",Peyton,"2,462"
132,Alexis,"3,049",Kendall,"2,456"
133,Braden,"3,046",Alexandria,"2,454"
134,Edward,"2,971",Christina,"2,452"
135,Omar,"2,966",Charlotte,"2,444"
136,Nicolas,"2,965",Sophie,"2,440"
137,Jared,"2,923",Valeria,"2,429"
138,Peyton,"2,842",Reagan,"2,425"
139,George,"2,823",Naomi,"2,421"
140,Maxwell,"2,809",Summer,"2,411"
141,Levi,"2,749",Kate,"2,404"
142,Cristian,"2,745",Mikayla,"2,395"
143,Stephen,"2,743",Angel,"2,388"
144,Francisco,"2,742",Layla,"2,383"
145,Collin,"2,732",Miranda,"2,357"
146,Preston,"2,728",Ana,"2,354"
147,Ayden,"2,722",Laura,"2,353"
148,Dakota,"2,721",Alicia,"2,344"
149,Nolan,"2,718",Ciara,"2,324"
150,Micah,"2,711",Daisy,"2,323"
151,Gage,"2,702",Margaret,"2,311"
152,Eli,"2,690",Zoey,"2,274"
153,Manuel,"2,665",Aubrey,"2,264"
154,Grant,"2,658",Skylar,"2,241"
155,Colton,"2,657",Genesis,"2,224"
156,Damian,"2,630",Kylee,"2,199"
157,Ricardo,"2,626",Courtney,"2,195"
158,Giovanni,"2,600",Payton,"2,184"
159,Emmanuel,"2,575",Kiara,"2,149"
160,Andres,"2,573",Alexia,"2,125"
161,Malachi,"2,552",Jillian,"2,121"
162,Peter,"2,552",Lindsey,"2,094"
163,Cesar,"2,519",Mckenzie,"2,078"
164,Javier,"2,501",Karen,"2,065"
165,Max,"2,495",Mariana,"2,062"
166,Shane,"2,459",Giselle,"2,058"
167,Hector,"2,458",Valerie,"2,034"
168,Edgar,"2,453",Serenity,"1,987"
169,Ty,"2,450",Sabrina,"1,979"
170,Fernando,"2,440",Alana,"1,973"
171,Jeffrey,"2,424",Cheyenne,"1,966"
172,Derek,"2,419",Lucy,"1,963"
173,Bradley,"2,409",Kelsey,"1,960"
174,Shawn,"2,368",Sadie,"1,954"
175,Travis,"2,366",Kelly,"1,952"
176,Brendan,"2,360",Juliana,"1,948"
177,Spencer,"2,316",Bianca,"1,925"
178,Edwin,"2,304",Nadia,"1,923"
179,Mario,"2,300",Kyra,"1,912"
180,Dalton,"2,255",Lilly,"1,907"
181,Erick,"2,243",Jasmin,"1,905"
182,Johnathan,"2,242",Caitlyn,"1,898"
183,Erik,"2,228",Hope,"1,891"
184,Jonah,"2,222",Ellie,"1,889"
185,Donovan,"2,184",Cassandra,"1,867"
186,Leonardo,"2,145",Jazmin,"1,865"
187,Elias,"2,116",Crystal,"1,855"
188,Marco,"2,116",Jordyn,"1,844"
189,Wesley,"2,113",Cassidy,"1,833"
190,Trenton,"2,103",Delaney,"1,828"
191,Devon,"2,097",Liliana,"1,797"
192,Abraham,"2,045",Angelica,"1,788"
193,Brody,"2,034",Caitlin,"1,778"
194,Jaylen,"1,998",Kyla,"1,770"
195,Bryson,"1,980",Adrianna,"1,769"
196,Raymond,"1,965",Tiffany,"1,766"
197,Josue,"1,951",Jayla,"1,765"
198,Drew,"1,950",Abby,"1,754"
199,Sergio,"1,949",Carly,"1,748"
200,Damien,"1,938",Chelsea,"1,734"
201,Andy,"1,925",Camila,"1,719"
202,Gregory,"1,901",Erica,"1,717"
203,Dillon,"1,897",Karla,"1,716"
